admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,céréales et tubercules,farine de blé,58
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,"viande, poisson et œufs",poisson frais,401
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,"viande, poisson et œufs",viande de bœuf,141
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,"viande, poisson et œufs",viande de poulet,94
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,huiles et matières grasses,huile de palme,62
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,légumineuses et noix,haricots,50
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,légumes et fruits,plantains,147
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,manioc,68
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,farine de manioc,74
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,maïs,51
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,farine de maïs,76
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,riz importé,64
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,riz local,71
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,céréales et tubercules,farine de blé,58
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,"viande, poisson et œufs",poisson frais,401
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,"viande, poisson et œufs",viande de bœuf,141
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,"viande, poisson et œufs",viande de poulet,94
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,huiles et matières grasses,huile de palme,62
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,légumineuses et noix,haricots,50
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,légumes et fruits,plantains,147
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,manioc,68
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,farine de manioc,74
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,maïs,51
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,farine de maïs,76
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,riz importé,64
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,riz local,71
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,céréales et tubercules,farine de blé,58
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,"viande, poisson et œufs",poisson frais,401
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,"viande, poisson et œufs",viande de bœuf,141
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,"viande, poisson et œufs",viande de poulet,94
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,huiles et matières grasses,huile de palme,62
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,légumineuses et noix,haricots,50
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,légumes et fruits,plantains,147
Ituri,Bunia,Bunia,151,1.57,30.25,légumineuses et noix,haricots,50
Nord-Kivu,Goma,Goma,152,-1.68,29.22,céréales et tubercules,farine de manioc,74
Nord-Kivu,Goma,Goma,152,-1.68,29.22,céréales et tubercules,maïs,51
Nord-Kivu,Goma,Goma,152,-1.68,29.22,céréales et tubercules,farine de maïs,76
Nord-Kivu,Goma,Goma,152,-1.68,29.22,céréales et tubercules,riz importé,64
Nord-Kivu,Goma,Goma,152,-1.68,29.22,céréales et tubercules,riz local,71
Nord-Kivu,Goma,Goma,152,-1.68,29.22,céréales et tubercules,farine de blé,58
Nord-Kivu,Goma,Goma,152,-1.68,29.22,légumes et fruits,plantains,147
Equateur,Bomongo,Mbandaka,146,0.07,18.27,aliments divers,sel,185
Equateur,Bomongo,Mbandaka,146,0.07,18.27,aliments divers,sucre,97
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,aliments divers,sel,185
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,aliments divers,sucre,97
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,aliments divers,sel,185
Kinshasa,Kinshasa,Kinshasa,144,-4.3,15.3,aliments divers,sucre,97
Nord-Kivu,Goma,Goma,152,-1.68,29.22,aliments divers,sel,185
Nord-Kivu,Goma,Goma,152,-1.68,29.22,aliments divers,sucre,97
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,aliments divers,sel,185
Sud-Kivu,Bukavu,Nyawera,150,-2.51,28.86,aliments divers,sucre,97
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,aliments divers,sel,185
Tanganyika,Kalemie,Kalemie,143,-5.92,29.19,aliments divers,sucre,97
Maniema,Kindu,Kindu,149,-2.95,25.95,aliments divers,sel,185
Maniema,Kindu,Kindu,149,-2.95,25.95,aliments divers,sucre,97
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,aliments divers,sel,185
Sud-Kivu,Uvira city,Uvira,147,-3.41,29.14,aliments divers,sucre,97
Ituri,Bunia,Bunia,151,1.57,30.25,aliments divers,sel,185
Ituri,Bunia,Bunia,151,1.57,30.25,aliments divers,sucre,97
Tanganyika,Kaoze,Moba,1395,-7.04,29.76,aliments divers,sel,185
Tanganyika,Kaoze,Moba,1395,-7.04,29.76,aliments divers,sucre,97
Tanganyika,Kabalo,Kabalo,148,-6.05,26.92,aliments divers,sel,185
Tanganyika,Kabalo,Kabalo,148,-6.05,26.92,aliments divers,sucre,97
Nord-Kivu,Goma,Goma,152,-1.68,29.22,légumineuses et noix,haricots,50
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,manioc (chikwangue),303
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,manioc (cossettes),302
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,farine de manioc,74
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,maïs,51
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,semoule de maïs,54
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,riz local,71
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,céréales et tubercules,farine de blé,58
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,"viande, poisson et œufs",poisson frais,401
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,"viande, poisson et œufs",poisson salé,301
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,"viande, poisson et œufs",poisson fumé,300
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,"viande, poisson et œufs",viande de bœuf,141
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,"viande, poisson et œufs",viande de poulet,94
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,"viande, poisson et œufs","viande de chèvre, avec os",236
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,non alimentaire,taux de change,305
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,non alimentaire,carburant (diesel),284
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,non alimentaire,transport en commun,304
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,huiles et matières grasses,huile de palme,62
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,légumineuses et noix,haricots,50
Bas-Uele,Bondo,Zongo,1648,3.97,23.4,légumes et fruits,plantains,147
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,manioc (chikwangue),303
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,manioc (cossettes),302
Equateur,Bomongo,Mbandaka,146,0.07,18.27,céréales et tubercules,semoule de maïs,54
Equateur,Bomongo,Mbandaka,146,0.07,18.27,"viande, poisson et œufs",poisson salé,301
Equateur,Bomongo,Mbandaka,146,0.07,18.27,"viande, poisson et œufs",poisson fumé,300
Equateur,Bomongo,Mbandaka,146,0.07,18.27,"viande, poisson et œufs","viande de chèvre, avec os",236
Equateur,Bomongo,Mbandaka,146,0.07,18.27,non alimentaire,taux de change,305
Equateur,Bomongo,Mbandaka,146,0.07,18.27,non alimentaire,carburant (diesel),284
Equateur,Bomongo,Mbandaka,146,0.07,18.27,non alimentaire,transport en commun,304
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,manioc (chikwangue),303
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,manioc (cossettes),302
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,farine de manioc,74
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,maïs,51
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,semoule de maïs,54
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,riz importé,64
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,riz local,71
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,céréales et tubercules,farine de blé,58
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,"viande, poisson et œufs",poisson frais,401
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,"viande, poisson et œufs",poisson salé,301
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,"viande, poisson et œufs",poisson fumé,300
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,"viande, poisson et œufs",viande de bœuf,141
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,"viande, poisson et œufs",viande de poulet,94
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,"viande, poisson et œufs","viande de chèvre, avec os",236
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,non alimentaire,taux de change,305
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,non alimentaire,carburant (diesel),284
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,non alimentaire,transport en commun,304
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,huiles et matières grasses,huile de palme,62
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,légumineuses et noix,haricots,50
Haut-Katanga,Likasi,Likasi,1606,-10.98,26.73,légumes et fruits,plantains,147
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,manioc (chikwangue),303
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,manioc (cossettes),302
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,céréales et tubercules,semoule de maïs,54
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,"viande, poisson et œufs",poisson salé,301
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,"viande, poisson et œufs",poisson fumé,300
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,"viande, poisson et œufs","viande de chèvre, avec os",236
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,non alimentaire,taux de change,305
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,non alimentaire,carburant (diesel),284
Haut-Katanga,Lubumbashi,Lubumbashi,145,-11.67,27.47,non alimentaire,transport en commun,304
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,manioc (chikwangue),303
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,manioc (cossettes),302
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,farine de manioc,74
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,maïs,51
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,semoule de maïs,54
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,riz importé,64
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,riz local,71
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,céréales et tubercules,farine de blé,58
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,"viande, poisson et œufs",poisson frais,401
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,"viande, poisson et œufs",poisson salé,301
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,"viande, poisson et œufs",poisson fumé,300
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,"viande, poisson et œufs",viande de bœuf,141
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,"viande, poisson et œufs",viande de poulet,94
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,"viande, poisson et œufs","viande de chèvre, avec os",236
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,non alimentaire,taux de change,305
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,non alimentaire,carburant (diesel),284
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,non alimentaire,transport en commun,304
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,huiles et matières grasses,huile de palme,62
Haut-Lomami,Kamina city,Kamina,1604,-8.74,24.99,légumes et fruits,plantains,147
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,manioc (chikwangue),303
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,manioc (cossettes),302
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,farine de manioc,74
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,maïs,51
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,semoule de maïs,54
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,riz local,71
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,céréales et tubercules,farine de blé,58
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,"viande, poisson et œufs",poisson frais,401
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,"viande, poisson et œufs",poisson salé,301
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,"viande, poisson et œufs",poisson fumé,300
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,"viande, poisson et œufs",viande de bœuf,141
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,"viande, poisson et œufs",viande de poulet,94
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,"viande, poisson et œufs","viande de chèvre, avec os",236
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,aliments divers,sucre,97
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,non alimentaire,taux de change,305
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,non alimentaire,carburant (diesel),284
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,non alimentaire,transport en commun,304
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,huiles et matières grasses,huile de palme,62
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,légumineuses et noix,haricots,50
Haut-Uele,Isiro,Isiro,1609,2.77,27.62,légumes et fruits,plantains,147
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,manioc (chikwangue),303
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,manioc (cossettes),302
Ituri,Bunia,Bunia,151,1.57,30.25,céréales et tubercules,semoule de maïs,54
Ituri,Bunia,Bunia,151,1.57,30.25,"viande, poisson et œufs",poisson salé,301
Ituri,Bunia,Bunia,151,1.57,30.25,"viande, poisson et œufs",poisson fumé,300
Ituri,Bunia,Bunia,151,1.57,30.25,"viande, poisson et œufs","viande de chèvre, avec os",236
Ituri,Bunia,Bunia,151,1.57,30.25,non alimentaire,taux de change,305
Ituri,Bunia,Bunia,151,1.57,30.25,non alimentaire,carburant (diesel),284
Ituri,Bunia,Bunia,151,1.57,30.25,non alimentaire,transport en commun,304
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,manioc (chikwangue),303
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,manioc (cossettes),302
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,farine de manioc,74
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,maïs,51
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,semoule de maïs,54
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,riz importé,64
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,riz local,71
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,céréales et tubercules,farine de blé,58
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,"viande, poisson et œufs",poisson frais,401
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,"viande, poisson et œufs",poisson salé,301
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,"viande, poisson et œufs",poisson fumé,300
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,"viande, poisson et œufs",viande de bœuf,141
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,"viande, poisson et œufs",viande de poulet,94
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,"viande, poisson et œufs","viande de chèvre, avec os",236
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,non alimentaire,taux de change,305
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,non alimentaire,carburant (diesel),284
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,non alimentaire,transport en commun,304
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,huiles et matières grasses,huile de palme,62
Kasai,Tshikapa,Tshikapa,1601,-6.42,20.8,légumes et fruits,plantains,147
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,manioc (chikwangue),303
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,manioc (cossettes),302
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,farine de manioc,74
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,maïs,51
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,semoule de maïs,54
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,riz importé,64
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,riz local,71
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,céréales et tubercules,farine de blé,58
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,"viande, poisson et œufs",poisson frais,401
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,"viande, poisson et œufs",poisson salé,301
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,"viande, poisson et œufs",poisson fumé,300
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,"viande, poisson et œufs",viande de bœuf,141
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,"viande, poisson et œufs",viande de poulet,94
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,"viande, poisson et œufs","viande de chèvre, avec os",236
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,non alimentaire,taux de change,305
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,non alimentaire,carburant (diesel),284
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,non alimentaire,transport en commun,304
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,huiles et matières grasses,huile de palme,62
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,légumineuses et noix,haricots,50
Kasai-Central,Kananga,Kananga,1602,-5.9,22.42,légumes et fruits,plantains,147
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,manioc (chikwangue),303
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,manioc (cossettes),302
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,farine de manioc,74
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,maïs,51
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,semoule de maïs,54
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,riz importé,64
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,riz local,71
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,céréales et tubercules,farine de blé,58
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,"viande, poisson et œufs",poisson frais,401
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,"viande, poisson et œufs",poisson salé,301
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,"viande, poisson et œufs",poisson fumé,300
Kasai-Oriental,Mbuji-Mayi,Mbuji-mayi,1651,-6.15,23.6,"viande, poisson et œufs",viande de bœuf,141
